Date,Location ,Suspected Cases,Nr. Of New Cases ,Total Confirmed Cases,Source ,Deaths,Recovered,Long,Lat,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/b651d4d718949857b9747bd41f3026d3.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Lagos,24,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/bdc771d7b10d6113a7aeffd065c5976d.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Lagos,24,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e5a742c399141c11b2849acb992842a4.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Lagos,33,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/c00529fd2ccbfc4b9ea0efb422f8fe46.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,FCT,11,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Lagos,35,0,1,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/aae1efcf3d17a2854e38ebbfa82b27dd.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Ekiti,1,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,5.22,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,FCT,15,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,10.00,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Kano,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,12.00,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Lagos,44,4,5,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,3.33,6.58,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Ogun ,4,0,2,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,1,8.52,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Rivers,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,7.00,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,
18-Mar-20,Yobe,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/e38dbfac91ddf317f73ab2c29cc5460e.pdf,0,0,11.95,11.73,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,A/Ibom,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,7.93,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Edo ,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,5.60,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Ekiti,1,1,1,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,5.22,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,
19-Mar-20,Enugu,1,0,0,https://ncdc.gov.ng/themes/common/files/sitreps/489b818e56a27c65778dccc075caae48.pdf,0,0,7.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,
